id,product_name,product_price,Rate,Review,Summary,Sentiment
CEswyP-9SsXRNLR9fFGKKw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,decent product,very impressive coolerpros stylish energy efficient 165 watt very good air throw and cooling summersible pumpcons very bulky take more place than other no wheel lack of ice box,positive
6Ry-gjGqApTSRZkfdYlLmw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,brilliant,best cooler i bought 6884,positive
taSsiZAGZSz2gRg7_M4XDw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,super!,excellent cooler in this price rangepros1 air throw is very powerful even when u run it at slow speed setting 2 cooling and tank capacity3 ergonomics cons1 if you want to clean the cooler then opening the pads is very cumbersome process if you have placed it on some flat surface then also draining the old water is very difficult overall v good cooler apart from above cons and considering price,positive
3oLy0rlzRI_xiqfQHqC4_g,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,worst experience ever!,cooler not provide cool air because 1year experience,negative
0QTn4pMzKv1mnQifcP9YoQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,perfect product!,a good product in budget,positive
N5iW2JG5e-QyUh7brRNSfw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,wonderful,packaging excellent value for money product,positive
_HTE4pOKeJC7kcxiCF9vTA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,simply awesome,delivered within 2 days working good,positive
NNGJQF3WeIHzGzweCpZ-VA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,nice product,efficient for large roomspros1 low noise of fan2 inverter friendly3 cools large rooms fastly and easily4 it have aroma chamber in which you can add tablet of frangrance to counter smell of woodwool pads5 it have 2 section for air flow which means you can adjust it to get air for double decker cot equallycons1they should have provided stand of castor wheel for it to move2 it should have ice chamberwill update more about it in future,positive
3HciJAVduCRoPDdzgh7cAA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,worth the money,better than the steel cooler less noise and value for money,positive
4meJyPOhuAKzywUJTmu2hw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,useless product,dont buy maharaja whiteline coolers they have cheap aluminum motors that are good for at max 2 years repair cost of these motors is so high that u would want to sell rather than repair them,positive
pRmHreZcF7YmNEEPukfcFg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,excellent,very nice product and delivery is satisfied,positive
s9XNBJAZ3ZcNW5u8BRZXuw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,"like an assembled, one can get for 4.5k cheap quality",no quality product1 the wood wool has started falling out from the next day2 out of two led indicator has found not working on arrival3 the air swinger is already giving noise when moving which never used to be in my old cooler which i am using since 3 years4 the quality is no way machine to branded coolers5 anti bacterial tank has been bacterial now as there is no way to clean it so congested to maintain it cleanlyin my way think before you buyac has option to aut,negative
Xq9tkiHhyN_aBFswFeGLvA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,simply awesome,air throw is very good it makes room very cool in just half an hour full tank capacity is 65 litres which stays up to 5 hours it makes big living room colder not very much noisy,positive
ImghNwml8N-ncAqhXe00hg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,great product,on time delivery received exact productthank u flipkart,positive
cBpJIOrVXotDI0XAZH_k0g,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,wonderful,maharaja always no 1,positive
FkHhy6kWeoJf0xJTqzRWmg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,wonderful,awesome product love this,positive
c1yGkETheht_1vjda7G5sA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,2,not good,poar quality plastic material is not good,negative
5kRug3bEienrpovtPRVVwg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,very good,value for money,positive
d7_jkx0VPx3uHsUl18iHMQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,super!,nice cooler,positive
8ZwO9VuLDWJOXmtAdc7LXQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,terrific purchase,fantastic product great cool,positive
LzpR_jE6VIutJ08s2cdRrw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,2,slightly disappointed,dont buy just by seing the comments dont know how people review and rate the product cooling is ok but when it comes to fill the water you would need inlet pipe to fill the water we cannot open from the backsides to fill the watercleaning is highly impossible because there is no way you can open and clean worst design other small small branded companies provide all those facilities but this is worst product design totally unhappy with this product,negative
5GpvSL1tlAjpgdJKZ5eLpg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,best at its price,positive
O-Xa9GCFWI65YiBD5Jw_hA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,2,expected a better product,this is my review after using this product for a week1air throw is good2produce less noise3good product at reasonable pricebut it never open from behindnot easy to cleanrefill the watercable is short,positive
9lDZ2d6oRpFsSWwDCCDQOw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,horrible,cooling fan problem,negative
vARjqeIkSNsazHltujiq4Q,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,nice,after discount rs 7200 price is okquality is okdelivery as on time okmotor speed 1200 rpm okpump okcolour is ok look is also okwater storage is appx 65 ltd more than 3 large bucket is okstill giving 3 star because it is a large in size and in width not fit to my window not expectedwill give next rating after couple of month usagethanx flipkart,positive
145SQ_msdQ1yo7J0E63VoA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,product is really worthy of price 8k however it occupied more space in room should one consider it before buy it worth for that money,positive
hW0Ne_HTHEAgGF1rAdmR-g,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,simply awesome,mind blowing very good for hall and for big wondow its really big in size quality is nice must buy,positive
Hgbxen9iKGL4AH6kKgC8YQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,mind-blowing purchase,good and sufficient size,positive
yb17xHvhDJthJGS10uhFeQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,highly recommended,awesome,positive
0QrA-Klgp1R-GzUr6uJS7Q,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,fabulous!,good product,positive
hfl62LX14YqNpG0g0Tj6_Q,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,brilliant,best product,positive
rRe2eLIQ4MQ7d6vFL26Qdg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,great product,very good,positive
E8z9E0aFDYwC7KQuEU3GYA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,highly recommended,good product delivery on time,positive
yGmdo1ENajB98iryHGoWFw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,must buy!,nice product deliver in time,positive
QGeliKMObpVZ3jP89--ZIg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,terrific purchase,i honestly liked the productbest desert cooler at lowest price i got the deal of 6889nice brand good built quality with precision to eachgood switches and knobs to controltakes space as its hugevery silentnot high but good speed fan to cool upto upto 12 feetno ice tray but its not a mattergo for it,positive
bc-lE-wGVAsUrX-kJhtY-Q,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,very poor,dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,negative
CrBsdxqOjPdnfsDxV89GJQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,mind-blowing purchase,awesome product,positive
m9Wqqma30o-hH2fAX7dnug,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,terrific purchase,very good product,positive
M3zLQRbSF_VcGukkzxXc4w,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,valu for money,positive
LzpR_jE6VIutJ08s2cdRrw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,wonderful,nice to,positive
WaO_hAunQrZ--vI308rHQA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,useless product,worst product fan speed very slowlike nothing,negative
COc06ScpJTN15NXMf4gkqA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,terrific purchase,best product,positive
hfl62LX14YqNpG0g0Tj6_Q,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,simply awesome,big size mostly like industrial cooler but within this price and my house is big it is perfect no wheels but can buy stand and it works fine if you have close home and less space go for other options,positive
AGar9KVq_W7YcF76avbDTw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,unsatisfactory,very bad service by flipkart customer care representative and jeeves agent too much bad performance no cooling just like a stand fan,negative
V1nEpIRmEa1768oj_tuxeQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,really nice,oh really really very good i am so happy,positive
Y-NqaDy_1bb-Y5dQ33x-Pw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,unsatisfactory,low air and not cooling as axcpected,negative
0RqNRc6RiILzZxK9J8Kqug,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,best in the market!,super cooling system,positive
YEQkTCmphjr6XKPh4m93AQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,highly recommended,very nice working,positive
StiQ_lcCY8sX4JI-J6Mufg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,classy product,excellent performance,positive
1Q_H3BLhKBymF6Se8FfZNw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,good,positive
qRBeZAFiId0ainBtpFSGuQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,best in the market!,wonderful product can go for it,positive
PmPOuRvuN3CoNOi1nBj_TQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,really desert cooler super cool,positive
F-ykHfGY9lWr12OJ_Ofy7A,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,brilliant,very good product water flow must be slow from pump but its okay,positive
0BpMvu5B9fY-KEbOuxLtFQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,absolute rubbish!,water inlet is not good,negative
XMRj865sZBPWCI7tx0uBWw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,terrific,awesome,positive
CvRGjwCsrQs1DYYL3z8R7g,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,terrific purchase,owsum product,positive
UI5ghIUeHYxzwSfaDVUXOA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,just okay,not so good,negative
YKOvlBNkF4KpUP9q7x862w,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,nice product,cooler is really very good but use any cooler ventilation os a must without ventilation no cooler will work especially in rainy seasonproduct is original was delivered safely this review is after a week,positive
qkbloHdDZuHf_0wTqUGPjQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,ice product,positive
1DjRf3AdYpdlC1Df9KD6rA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,perfect product!,not working motors and very bad poor maharaja cooler,negative
nFo_63pTr-4ZhakuaRFOCA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,must buy!,very good product worth buying,positive
rZbHg4ACfN3iShdsT47WKQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,perfect product!,good product,positive
CgHcO651uEE3aalrkm4boQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,2,bad quality,fan speed is slow and making lot of noise,positive
huxYC5ZvUwJdJE3tfhnpIQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,mind-blowing purchase,nice cooler perfect for hall,positive
hLRoMJv9KSoBLJILh2TwOg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,worth the money,very good cooling,positive
